x_sun,y_sun,z_sun,x_earth,y_earth,z_earth,x_moon,y_moon,z_moon
0,37960983939.8027,38151453400.1639,0,142100656347.862,142448809313.691,0,23535968.0370986,34928213.3313864
0.0159605137659936,37885808110.6972,38074073373.7682,0.0597859865796793,142120760460.743,142470202285.802,9.95541213231954e-06,23504991.4792725,35147587.9302761
0.0637998490317887,37810621893.7327,37996674939.8429,0.239155146755056,142140825420.27,142491541374.868,3.98059515136896e-05,23474014.4674484,35366461.0990612
0.143454689989336,37735425308.5135,37919258218.4467,0.538124255425879,142160851221.463,142512826531.573,8.95280683838565e-05,23443037.1359636,35584822.5579843
0.25486171183317,37660218374.6446,37841823329.8319,0.956710053148395,142180837859.348,142534057707.271,0.000159098207341765,23412059.6187322,35802662.0618455
0.397957580779684,37585001111.7314,37764370394.44,1.49492924612963,142200785328.951,142555234853.979,0.000248492807355838,23381082.0492407,36019969.4003228
0.572678954086884,37509773539.3803,37686899532.8977,2.1527985062235,142220693625.304,142576357924.378,0.000357688301774552,23350104.5605447,36236734.3982903
0.778962480074292,37434535677.1979,37609410866.012,2.93033447092753,142240562743.442,142597426871.817,0.000486661118337101,23319127.2852643,36452946.9161343
1.01674479814005,37359287544.7925,37531904514.767,3.8275537433689,142260392678.403,142618441650.308,0.000635387679182303,23288150.3555811,36668596.8500624
2.67592002670908,36982893515.7514,37144111739.3808,10.1094784251961,142358954432.089,142722701445.579,0.00167450103189565,23133275.4862614,37738056.6749197
5.11305587244596,36606245672.8389,36755895096.49,19.3859565024993,142456535863.867,142825600501.618,0.0032039181111775,22978428.8251066,38791957.4647988
8.32022234256413,36229346468.2046,36367269881.88,31.6590246780815,142553136357.126,142927133818.116,0.00522068544743322,22823626.3787098,39829078.3537096
12.2894840156602,35852198354.8399,35978251469.8337,46.9306981407874,142648755297.316,143027296809.453,0.00772184614903618,22668883.8522665,40848223.061463
17.0129001026829,35474803786.7162,35588855300.2024,65.2029705505461,142743392071.969,143126085303.542,0.0107044399343784,22514216.6391797,41848220.7374922
22.4825245079413,35097165218.9219,35199096865.687,86.4778140235826,142837046070.718,143223495540.279,0.01416550316372,22359639.8112169,42827926.7599183
28.6904058901853,34719285107.7931,34808991699.3722,110.757179117933,142929716685.33,143319524169.576,0.0181020688708318,22205168.1092625,43786223.4861768
35.6285877236259,34341165911.0499,34418555362.5099,138.042994818749,143021403309.736,143414168249.038,0.0225111667943105,22050815.9346181,44722020.9592729
80.9951700532972,32447069853.005,32461944950.6279,319.63483504829,143465055513.667,143866546349.088,0.0515404534767149,21281321.1353694,49027886.746425
143.422910832358,30547366189.4771,30499395932.309,576.664859661824,143884018186.178,144284113495.221,0.0919356658895297,20516762.0460284,52625109.988087
221.911779459617,28642364534.8843,28532806317.0638,909.349840991776,144278218648.118,144666910535.567,0.143321991528822,19758532.444927,55410566.5265133
315.458965353095,26732375964.7207,26564030600.5521,1317.89297044382,144647585612.432,145015232662.979,0.20532277893186,19007760.2558488,57302786.7235648
423.059070796715,24817713418.6095,24594841792.3713,1802.48382265703,144992049619.913,145329594973.467,0.277559609979438,18265305.7442359,58242100.0901967
543.704304306848,22898692083.3011,22626895059.341,2363.29832264209,145311543680.193,145610681265.151,0.359652366300191,17531776.0740016,58189450.5253245
676.384674376211,20975629160.5283,20661741346.9211,3000.49871583036,145606003230.886,145859348169.144,0.451219298435622,16807533.3064641,57125744.4076716
820.088183676853,19048843887.8465,18700820437.8338,3714.23354110869,145875365986.176,146076638182.206,0.551877083226669,16092677.1327446,55053252.3031596
974.585680102593,17109089185.2683,16735709569.2267,4508.74398940622,146120719770.756,146264565435.995,0.66180363256178,15383563.997778,51978711.0975181
1138.16132276426,15166229755.775,14777267978.6841,5380.80795493556,146340610183.947,146423331211.517,0.780130531406892,14683313.4076038,47956654.6328686
1309.78307005528,13220597278.4185,12826466742.7972,6330.53422336643,146534983052.413,146554394389.56,0.906464210010146,13991249.36391,43052667.394317
1488.41763217317,11272526773.9191,10884039150.1043,7358.01752027846,146703787119.961,146659357227.72,1.04040968067143,13306365.0276756,37359258.1174035
1673.0306715076,9322356677.77245,8950469338.04294,8463.33849850672,146846974437.413,146739934019.547,1.18157059182833,12627342.5400068,30994247.5776031
1862.58700308716,7370428884.18844,7025983298.41544,9646.56372846119,146964500906.597,146797907149.058,1.32954928932785,11952586.2138969,24098069.5927151
2056.05079502709,5417089360.91414,5110493489.15578,10907.7456915228,147056326336.042,146835122743.514,1.48394688131257,11280179.4704379,16837268.8603488
2252.38576890221,3462688837.0482,3203537519.78278,12246.9227763567,147122415035.671,146853442444.336,1.64436331371581,10607876.0469241,9405213.3926798
2439.20285674469,1619288340.26119,1412608006.36566,13581.054903535,147161128547.102,146854954030.202,1.80076782650272,9971905.3271518,2426971.91996017
2626.78209002182,-224437416.434297,-372511359.05698,14984.5557609352,147176916383.186,146842542211.534,1.96182951392165,9331632.52415452,-4327673.59875456
2814.25470490487,-2068183702.36159,-2153077517.92227,16457.4231062461,147169765373.532,146817337957.336,2.12721066713816,8684833.01633575,-10668800.7676328
3000.75219841139,-3911641676.152,-3930688526.4843,17999.6435703252,147139670378.308,146780120701.555,2.29657298453188,8029311.63808316,-16408864.9018192
3185.40647673152,-5754500436.644,-5707120902.18769,19611.1926655877,147086634575.875,146731294741.195,2.46957765508051,7363063.14972753,-21375741.929767
3367.35000328506,-7596449228.65113,-7484154377.1149,21292.0347966348,147010669696.65,146670869943.721,2.64588543761928,6684439.17513366,-25426296.7782255
